age,sex,bmi,children,smoker,region,charges
18,male,33.77,1,no,southeast,1725.5523
28,male,33.0,3,no,southeast,4449.462
32,male,28.88,0,no,northwest,3866.8552
37,male,29.83,2,no,northeast,6406.4107
25,male,26.22,0,no,northeast,2721.3208
23,male,34.4,0,no,southwest,1826.8429999999998
19,male,24.6,1,no,southwest,1837.237
23,male,23.845,0,no,northeast,2395.17155
56,male,40.3,0,no,southwest,10602.385
18,male,34.1,0,no,southeast,1137.011
37,male,28.025,2,no,northwest,6203.90175
23,male,17.385,1,no,northwest,2775.19215
63,male,28.31,0,no,northwest,13770.0979
19,male,20.425,0,no,northwest,1625.43375
26,male,20.8,0,no,southwest,2302.3
41,male,21.78,1,no,southeast,6272.4772
38,male,37.05,1,no,northeast,6079.6715
43,male,27.36,3,no,northeast,8606.2174
25,male,33.66,4,no,southeast,4504.6624
40,male,26.315,1,no,northwest,6389.37785
31,male,28.5,5,no,northeast,6799.4580000000005
58,male,32.01,1,no,southeast,11946.6259
44,male,27.4,2,no,southwest,7726.854
57,male,34.01,0,no,northwest,11356.6609
21,male,35.53,0,no,southeast,1532.4697
31,male,26.885,1,no,northeast,4441.21315
35,male,34.77,2,no,northwest,5729.0053
55,male,38.28,0,no,southeast,10226.2842
30,male,25.46,0,no,northeast,3645.0894
26,male,30.875,2,no,northwest,3877.30425
29,male,27.94,0,no,southeast,2867.1196
54,male,33.63,1,no,northwest,10825.2537
37,male,30.8,0,no,southwest,4646.759
52,male,32.205,3,no,northeast,11488.31695
58,male,49.06,0,no,southeast,11381.3254
44,male,37.1,2,no,southwest,7740.3369999999995
18,male,23.75,0,no,northeast,1705.6245
38,male,34.7,2,no,southwest,6082.405
19,male,25.555,0,no,northwest,1632.56445
19,male,34.1,0,no,southwest,1261.442
22,male,25.175,0,no,northwest,2045.68525
26,male,32.49,1,no,northeast,3490.5491
19,male,28.4,1,no,southwest,1842.519
35,male,24.13,1,no,northwest,5125.2157
48,male,29.7,0,no,southeast,7789.635
44,male,39.52,0,no,northwest,6948.7008
54,male,39.6,1,no,southwest,10450.552
37,male,29.64,0,no,northwest,5028.1466
47,male,28.215,4,no,northeast,10407.08585
27,male,18.905,3,no,northeast,4827.90495
63,male,41.47,0,no,southeast,13405.3903
49,male,30.3,0,no,southwest,8116.68
18,male,15.96,0,no,northeast,1694.7964
38,male,27.835,2,no,northwest,6455.86265
54,male,29.2,1,no,southwest,10436.096
58,male,28.595,0,no,northwest,11735.87905
22,male,19.95,3,no,northeast,4005.4225
44,male,30.69,2,no,southeast,7731.4271
61,male,31.57,0,no,southeast,12557.6053
25,male,25.74,0,no,southeast,2137.6536
18,male,34.43,0,no,southeast,1137.4697
19,male,30.59,0,no,northwest,1639.5631
46,male,22.3,0,no,southwest,7147.105
59,male,26.4,0,no,southeast,11743.298999999999
40,male,41.23,1,no,northeast,6610.1097
20,male,33.0,1,no,southwest,1980.07
40,male,30.875,4,no,northwest,8162.71625
24,male,28.5,2,no,northwest,3537.703
27,male,23.1,0,no,southeast,2483.736
32,male,30.8,3,no,southwest,5253.524
55,male,33.88,3,no,southeast,11987.1682
28,male,38.06,0,no,southeast,2689.4954
47,male,25.46,2,no,northeast,9225.2564
59,male,27.5,1,no,southwest,12333.828000000001
39,male,24.51,2,no,northwest,6710.1919
31,male,38.39,2,no,southeast,4463.2051
44,male,38.06,1,no,southeast,7152.6714
40,male,35.3,3,no,southwest,7196.866999999999
