Date,CO2
 1958.2027,     315.71
 1958.2877,     317.45
 1958.3699,     317.51
 1958.4548,     317.25
 1958.5370,     315.86
 1958.6219,     314.93
 1958.7068,     313.21
 1958.7890,     312.44
 1958.8740,     313.33
 1958.9562,     314.67
 1959.0411,     315.58
 1959.1260,     316.49
 1959.2027,     316.65
 1959.2877,     317.72
 1959.3699,     318.29
 1959.4548,     318.15
 1959.5370,     316.54
 1959.6219,     314.80
 1959.7068,     313.84
 1959.7890,     313.33
 1959.8740,     314.81
 1959.9562,     315.58
 1960.0410,     316.43
 1960.1257,     316.98
 1960.2049,     317.58
 1960.2896,     319.03
 1960.3716,     320.03
 1960.4563,     319.59
 1960.5383,     318.18
 1960.6230,     315.90
 1960.7077,     314.17
 1960.7896,     313.83
 1960.8743,     315.00
 1960.9563,     316.19
 1961.0411,     316.89
 1961.1260,     317.70
 1961.2027,     318.54
 1961.2877,     319.48
 1961.3699,     320.58
 1961.4548,     319.77
 1961.5370,     318.56
 1961.6219,     316.79
 1961.7068,     314.99
 1961.7890,     315.31
 1961.8740,     316.10
 1961.9562,     317.01
 1962.0411,     317.94
 1962.1260,     318.55
 1962.2027,     319.68
 1962.2877,     320.57
 1962.3699,     321.02
 1962.4548,     320.62
 1962.5370,     319.61
 1962.6219,     317.40
 1962.7068,     316.25
 1962.7890,     315.42
 1962.8740,     316.69
 1962.9562,     317.70
 1963.0411,     318.74
 1963.1260,     319.07
 1963.2027,     319.86
 1963.2877,     321.38
 1963.3699,     322.25
 1963.4548,     321.48
 1963.5370,     319.74
 1963.6219,     317.77
 1963.7068,     316.21
 1963.7890,     315.99
 1963.8740,     317.07
 1963.9562,     318.35
 1964.0410,     319.57
 1964.1257,     320.02
 1964.2049,     320.75
 1964.2896,     321.84
 1964.3716,     322.25
 1964.4563,     321.89
 1964.5383,     320.44
 1964.6230,     318.69
 1964.7077,     316.71
 1964.7896,     316.87
 1964.8743,     317.68
 1964.9563,     318.71
 1965.0411,     319.44
 1965.1260,     320.44
 1965.2027,     320.89
 1965.2877,     322.14
 1965.3699,     322.17
 1965.4548,     321.87
 1965.5370,     321.21
 1965.6219,     318.87
 1965.7068,     317.82
 1965.7890,     317.30
 1965.8740,     318.87
 1965.9562,     319.42
 1966.0411,     320.62
 1966.1260,     321.60
 1966.2027,     322.39
 1966.2877,     323.70
 1966.3699,     324.08
 1966.4548,     323.75
 1966.5370,     322.38
